12:43:28 dodo001 Admin Cirrus INSERTING data into tables `log_login` fields ( username, ip, browser ) values ( dodo001, 137.97.90.46, Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.61 Safari/537.36 ) => {inserted_id = 11148}
12:43:28 dodo001 Admin Cirrus DELETE data from tables `temp_session` on conditions username LIKE dodo001
12:43:28 dodo001 Admin Cirrus UPDATING data to tables `time2vie_cirruscommon`.`login` fields ( login, last_time ) values (1, 2020-05-26 12:43:28) on conditions username = dodo001
12:43:28 dodo001 Admin Cirrus UPDATING data to tables `time2vie_cirruscommon`.`secondary_login` fields ( last_login_time ) values (2020-05-26 12:43:28) on conditions username = dodo001 AND company_id = 6
12:43:30 dodo001 Admin Cirrus UPDATING data to tables `time2vie_cirruscommon`.`ws_sessions` fields ( user_id ) values (dodo001) on conditions session_id = 47c109a87c7bae2fef38b4a3f3f39f4d
13:45:19 dodo001 Admin Cirrus INSERTING data into tables `log_login` fields ( username, ip, browser ) values ( dodo001, 117.222.164.226, Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.61 Safari/537.36 ) => {inserted_id = 11149}
13:45:19 dodo001 Admin Cirrus DELETE data from tables `temp_session` on conditions username LIKE dodo001
13:45:19 dodo001 Admin Cirrus UPDATING data to tables `time2vie_cirruscommon`.`login` fields ( login, last_time ) values (1, 2020-05-26 13:45:19) on conditions username = dodo001
13:45:19 dodo001 Admin Cirrus UPDATING data to tables `time2vie_cirruscommon`.`secondary_login` fields ( last_login_time ) values (2020-05-26 13:45:19) on conditions username = dodo001 AND company_id = 6
13:45:20 dodo001 Admin Cirrus UPDATING data to tables `time2vie_cirruscommon`.`ws_sessions` fields ( user_id ) values (dodo001) on conditions session_id = edbc41673f88daa0025c3d1a5bfc64d5
13:47:40 dodo001 Admin Cirrus INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( jata001, tejo002, 1, 0, 2020-03-01, 10.15, 15, 1, , dodo001,  ) => {inserted_id = 18056}
13:47:40 dodo001 Admin Cirrus INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( jata001, tejo002, 1, 0, 2020-03-02, 10.15, 15, 1, , dodo001,  ) => {inserted_id = 18057}
13:47:40 dodo001 Admin Cirrus INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( jata001, tejo002, 1, 0, 2020-03-03, 10.15, 15, 1, , dodo001,  ) => {inserted_id = 18058}
13:47:40 dodo001 Admin Cirrus INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( jata001, tejo002, 1, 0, 2020-03-04, 10.15, 15, 1, , dodo001,  ) => {inserted_id = 18059}
13:47:40 dodo001 Admin Cirrus INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( jata001, tejo002, 1, 0, 2020-03-05, 10.15, 15, 1, , dodo001,  ) => {inserted_id = 18060}
13:47:40 dodo001 Admin Cirrus INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( jata001, tejo002, 1, 0, 2020-03-06, 10.15, 15, 1, , dodo001,  ) => {inserted_id = 18061}
13:47:40 dodo001 Admin Cirrus INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( jata001, tejo002, 1, 0, 2020-03-07, 10.15, 15, 1, , dodo001,  ) => {inserted_id = 18062}
13:47:40 dodo001 Admin Cirrus INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( jata001, tejo002, 1, 0, 2020-03-08, 10.15, 15, 1, , dodo001,  ) => {inserted_id = 18063}
13:48:08 dodo001 Admin Cirrus UPDATING data to tables `timetable` fields ( status ) values (2) on conditions (status IN ( 0,1 )) AND employee = jata001 AND (date BETWEEN 2020-01-06 AND 2020-01-12)
13:48:08 dodo001 Admin Cirrus INSERTING data into tables `timetable` fields ( customer, date, time_from, time_to, type, fkkn, status, alloc_emp, relation_id, employee ) values ( tejo002, 2020-01-06, 10.15, 15.00, 0, 1, 0, dodo001, 18001,  ), ( tejo002, 2020-01-07, 10.15, 15.00, 0, 1, 0, dodo001, 18002,  ), ( tejo002, 2020-01-08, 10.15, 15.00, 0, 1, 0, dodo001, 18003,  ), ( tejo002, 2020-01-09, 10.15, 15.00, 0, 1, 0, dodo001, 18004,  ), ( tejo002, 2020-01-10, 10.15, 15.00, 0, 1, 0, dodo001, 18005,  ), ( tejo002, 2020-01-11, 10.15, 15.00, 0, 1, 0, dodo001, 18006,  ), ( tejo002, 2020-01-12, 10.15, 15.00, 0, 1, 0, dodo001, 18007,  ) => {inserted_id = 18064}
13:48:08 dodo001 Admin Cirrus INSERTING data into tables `leave` fields ( group_id, employee, date, time_from, time_to, type, comment, appr_emp, status, no_pay ) values ( 228, jata001, 2020-01-06, 00.00, 24.00, 3, , dodo001, 1, 0 ), ( 228, jata001, 2020-01-07, 00.00, 24.00, 3, , dodo001, 1, 0 ), ( 228, jata001, 2020-01-08, 00.00, 24.00, 3, , dodo001, 1, 0 ), ( 228, jata001, 2020-01-09, 00.00, 24.00, 3, , dodo001, 1, 0 ), ( 228, jata001, 2020-01-10, 00.00, 24.00, 3, , dodo001, 1, 0 ), ( 228, jata001, 2020-01-11, 00.00, 24.00, 3, , dodo001, 1, 0 ), ( 228, jata001, 2020-01-12, 00.00, 24.00, 3, , dodo001, 1, 0 ) => {inserted_id = 861}
14:13:27 dodo001 Admin Cirrus UPDATING data to tables `time2vie_cirruscommon`.`ws_sessions` fields ( user_id ) values (dodo001) on conditions session_id = edbc41673f88daa0025c3d1a5bfc64d5
14:14:03 dodo001 Admin Cirrus INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( lobr002, teku001, 1, 0, 2020-01-06, 10.15, 12, 1, , dodo001,  ) => {inserted_id = 18071}
14:14:03 dodo001 Admin Cirrus INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( lobr002, teku001, 1, 0, 2020-01-07, 10.15, 12, 1, , dodo001,  ) => {inserted_id = 18072}
14:14:03 dodo001 Admin Cirrus INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( lobr002, teku001, 1, 0, 2020-01-08, 10.15, 12, 1, , dodo001,  ) => {inserted_id = 18073}
14:14:03 dodo001 Admin Cirrus INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( lobr002, teku001, 1, 0, 2020-01-09, 10.15, 12, 1, , dodo001,  ) => {inserted_id = 18074}
