10:03:56 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( joso004, adan001, 2, 3, 2020-10-21, 6, 7.00, 1, , gine001,  ) => {inserted_id = 18649}
10:03:56 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( joso004, adan001, 2, 0, 2020-10-21, 7.00, 13, 1, , gine001,  ) => {inserted_id = 18650}
10:03:56 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( joso004, adan001, 2, 3, 2020-10-22, 6, 7.00, 1, , gine001,  ) => {inserted_id = 18651}
10:03:56 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( joso004, adan001, 2, 0, 2020-10-22, 7.00, 13, 1, , gine001,  ) => {inserted_id = 18652}
10:03:56 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( joso004, adan001, 2, 3, 2020-10-23, 6, 7.00, 1, , gine001,  ) => {inserted_id = 18653}
10:03:56 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( joso004, adan001, 2, 0, 2020-10-23, 7.00, 13, 1, , gine001,  ) => {inserted_id = 18654}
10:03:56 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( joso004, adan001, 2, 0, 2020-10-24, 6, 13, 1, , gine001,  ) => {inserted_id = 18655}
10:03:56 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( joso004, adan001, 2, 0, 2020-10-25, 6, 13, 1, , gine001,  ) => {inserted_id = 18656}
10:03:56 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( joso004, adan001, 2, 0, 2020-10-26, 6, 13, 1, , gine001,  ) => {inserted_id = 18657}
10:03:56 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( joso004, adan001, 2, 3, 2020-10-27, 6, 7.00, 1, , gine001,  ) => {inserted_id = 18658}
10:03:56 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( joso004, adan001, 2, 0, 2020-10-27, 7.00, 13, 1, , gine001,  ) => {inserted_id = 18659}
