08:10:45 gine001 Gilad Nevo INSERTING data into tables `log_login` fields ( username, ip, browser ) values ( gine001, 79.102.9.25, Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:52.0) Gecko/20100101 Firefox/52.0 ) => {inserted_id = 6147}
08:10:45 gine001 Gilad Nevo DELETE data from tables `temp_session` on conditions username LIKE gine001
08:10:45 gine001 Gilad Nevo UPDATING data to tables `time2vie_cirruscommon`.`login` fields ( login, last_time ) values (1, 2017-12-06 08:10:45) on conditions username = gine001
08:10:45 gine001 Gilad Nevo UPDATING data to tables `time2vie_cirruscommon`.`secondary_login` fields ( last_login_time ) values (2017-12-06 08:10:45) on conditions username = gine001 AND company_id = 6
08:11:17 gine001 Gilad Nevo UPDATING data to tables `time2vie_cirruscommon`.`ws_sessions` fields ( user_id ) values (gine001) on conditions session_id = 8e737d37327274b21fb41511dbab34d9
08:12:11 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( last002, anst007, 1, 0, 2017-12-01, 6.00, 7.30, 1, , gine001,  ) => {inserted_id = 12463}
08:12:11 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( last002, anst007, 1, 0, 2017-12-02, 3, 7.30, 1, , gine001,  ) => {inserted_id = 12464}
08:12:11 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( last002, anst007, 1, 3, 2017-12-03, 3, 6.00, 1, , gine001,  ) => {inserted_id = 12465}
08:12:11 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( last002, anst007, 1, 0, 2017-12-03, 6.00, 7.30, 1, , gine001,  ) => {inserted_id = 12466}
08:13:02 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( lima003, anst007, 1, 0, 2017-11-13, 16.30, 24, 1, , gine001,  ) => {inserted_id = 12467}
08:13:02 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( lima003, anst007, 1, 0, 2017-11-14, 0, 3.20, 1, , gine001,  ) => {inserted_id = 12468}
08:13:02 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( lima003, anst007, 1, 0, 2017-11-14, 16.30, 19.30, 1, , gine001,  ) => {inserted_id = 12469}
08:13:02 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( lima003, anst007, 1, 3, 2017-11-14, 19.30, 24.00, 1, , gine001,  ) => {inserted_id = 12470}
08:13:02 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( lima003, anst007, 1, 3, 2017-11-15, 0.00, 3.20, 1, , gine001,  ) => {inserted_id = 12471}
08:13:02 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( lima003, anst007, 1, 0, 2017-11-15, 16.30, 24, 1, , gine001,  ) => {inserted_id = 12472}
08:13:02 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( lima003, anst007, 1, 0, 2017-11-16, 0, 3.20, 1, , gine001,  ) => {inserted_id = 12473}
08:13:02 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( lima003, anst007, 1, 0, 2017-11-16, 16.30, 24, 1, , gine001,  ) => {inserted_id = 12474}
08:13:02 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( lima003, anst007, 1, 0, 2017-11-17, 0, 3.20, 1, , gine001,  ) => {inserted_id = 12475}
08:13:02 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( lima003, anst007, 1, 0, 2017-11-17, 16.30, 24, 1, , gine001,  ) => {inserted_id = 12476}
08:13:02 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( lima003, anst007, 1, 0, 2017-11-18, 0, 3.20, 1, , gine001,  ) => {inserted_id = 12477}
08:13:02 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( lima003, anst007, 1, 0, 2017-11-18, 16.30, 19.30, 1, , gine001,  ) => {inserted_id = 12478}
08:13:02 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( lima003, anst007, 1, 3, 2017-11-18, 19.30, 24.00, 1, , gine001,  ) => {inserted_id = 12479}
08:13:02 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( lima003, anst007, 1, 3, 2017-11-19, 0.00, 3.20, 1, , gine001,  ) => {inserted_id = 12480}
08:13:02 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( lima003, anst007, 1, 0, 2017-11-19, 16.30, 19.30, 1, , gine001,  ) => {inserted_id = 12481}
08:13:02 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( lima003, anst007, 1, 3, 2017-11-19, 19.30, 24.00, 1, , gine001,  ) => {inserted_id = 12482}
08:13:02 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( lima003, anst007, 1, 3, 2017-11-20, 0.00, 3.20, 1, , gine001,  ) => {inserted_id = 12483}
08:13:02 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( lima003, anst007, 1, 0, 2017-11-20, 16.30, 24, 1, , gine001,  ) => {inserted_id = 12484}
08:13:02 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( lima003, anst007, 1, 0, 2017-11-21, 0, 3.20, 1, , gine001,  ) => {inserted_id = 12485}
08:13:02 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( lima003, anst007, 1, 0, 2017-11-21, 16.30, 19.30, 1, , gine001,  ) => {inserted_id = 12486}
08:13:02 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( lima003, anst007, 1, 3, 2017-11-21, 19.30, 24.00, 1, , gine001,  ) => {inserted_id = 12487}
08:13:02 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( lima003, anst007, 1, 3, 2017-11-22, 0.00, 3.20, 1, , gine001,  ) => {inserted_id = 12488}
08:13:02 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( lima003, anst007, 1, 0, 2017-11-22, 16.30, 24, 1, , gine001,  ) => {inserted_id = 12489}
08:13:02 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( lima003, anst007, 1, 0, 2017-11-23, 0, 3.20, 1, , gine001,  ) => {inserted_id = 12490}
08:13:02 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( lima003, anst007, 1, 0, 2017-11-23, 16.30, 24, 1, , gine001,  ) => {inserted_id = 12491}
08:13:02 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( lima003, anst007, 1, 0, 2017-11-24, 0, 3.20, 1, , gine001,  ) => {inserted_id = 12492}
08:13:02 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( lima003, anst007, 1, 0, 2017-11-24, 16.30, 24, 1, , gine001,  ) => {inserted_id = 12493}
08:13:02 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( lima003, anst007, 1, 0, 2017-11-25, 0, 3.20, 1, , gine001,  ) => {inserted_id = 12494}
08:13:02 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( lima003, anst007, 1, 0, 2017-11-25, 16.30, 19.30, 1, , gine001,  ) => {inserted_id = 12495}
08:13:02 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( lima003, anst007, 1, 3, 2017-11-25, 19.30, 24.00, 1, , gine001,  ) => {inserted_id = 12496}
08:13:02 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( lima003, anst007, 1, 3, 2017-11-26, 0.00, 3.20, 1, , gine001,  ) => {inserted_id = 12497}
08:13:02 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( lima003, anst007, 1, 0, 2017-11-26, 16.30, 19.30, 1, , gine001,  ) => {inserted_id = 12498}
