07:05:43 gine001 Gilad Nevo INSERTING data into tables `timetable`fields employee, customer, date, time_from, time_to, type, status, comment, alloc_emp, relation_id, fkkn values ( chyi001, anst007, 2013-10-15, 16, 21, 0, 1, , jata001, , 1 )
07:05:43 gine001 Gilad Nevo INSERTING data into tables `timetable`fields employee, customer, date, time_from, time_to, type, status, comment, alloc_emp, relation_id, fkkn values ( anra004, anst007, 2013-10-15, 21, 24, 0, 1, , jata001, , 1 )
07:05:43 gine001 Gilad Nevo INSERTING data into tables `timetable`fields employee, customer, date, time_from, time_to, type, status, comment, alloc_emp, relation_id, fkkn values ( anra004, anst007, 2013-10-16, 0, 1, 0, 1, , jata001, , 1 )
07:05:43 gine001 Gilad Nevo INSERTING data into tables `timetable`fields employee, customer, date, time_from, time_to, type, status, comment, alloc_emp, relation_id, fkkn values ( anra004, anst007, 2013-10-16, 1, 5, 3, 1, , jata001, , 1 )
07:05:43 gine001 Gilad Nevo INSERTING data into tables `timetable`fields employee, customer, date, time_from, time_to, type, status, comment, alloc_emp, relation_id, fkkn values ( anra004, anst007, 2013-10-16, 5, 8, 0, 1, , jata001, , 1 )
07:05:43 gine001 Gilad Nevo INSERTING data into tables `timetable`fields employee, customer, date, time_from, time_to, type, status, comment, alloc_emp, relation_id, fkkn values ( cher005, anst007, 2013-10-16, 8, 16, 0, 1, , jata001, , 1 )
07:05:43 gine001 Gilad Nevo INSERTING data into tables `timetable`fields employee, customer, date, time_from, time_to, type, status, comment, alloc_emp, relation_id, fkkn values ( chyi001, anst007, 2013-10-16, 16, 21, 0, 1, , jata001, , 1 )
07:05:43 gine001 Gilad Nevo INSERTING data into tables `timetable`fields employee, customer, date, time_from, time_to, type, status, comment, alloc_emp, relation_id, fkkn values ( lima003, anst007, 2013-10-16, 21, 24, 0, 1, , jata001, , 1 )
07:05:43 gine001 Gilad Nevo INSERTING data into tables `timetable`fields employee, customer, date, time_from, time_to, type, status, comment, alloc_emp, relation_id, fkkn values ( lima003, anst007, 2013-10-17, 0, 1, 0, 1, , jata001, , 1 )
07:05:43 gine001 Gilad Nevo INSERTING data into tables `timetable`fields employee, customer, date, time_from, time_to, type, status, comment, alloc_emp, relation_id, fkkn values ( lima003, anst007, 2013-10-17, 1, 5, 3, 1, , jata001, , 1 )
