05:31:57 gine001 Gilad Nevo1 INSERTING data into tables `log_login` fields ( username, ip, browser ) values ( gine001, 171.5.25.88, Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:68.0) Gecko/20100101 Firefox/68.0 ) => {inserted_id = 7990}
05:31:57 gine001 Gilad Nevo1 DELETE data from tables `temp_session` on conditions username LIKE gine001
05:31:57 gine001 Gilad Nevo1 UPDATING data to tables `time2vie_cirruscommon`.`login` fields ( login, last_time ) values (1, 2020-01-02 05:31:57) on conditions username = gine001
05:35:38 gine001 Gilad Nevo1 INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , amom001, 1, 0, 2020-01-16, 6.30, 8, 0, , gine001,  ) => {inserted_id = 2578}
05:35:38 gine001 Gilad Nevo1 INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , amom001, 1, 0, 2020-01-17, 6.30, 8, 0, , gine001,  ) => {inserted_id = 2579}
05:35:38 gine001 Gilad Nevo1 INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , amom001, 1, 0, 2020-01-20, 6.30, 8, 0, , gine001,  ) => {inserted_id = 2580}
05:35:38 gine001 Gilad Nevo1 INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , amom001, 1, 0, 2020-01-21, 6.30, 8, 0, , gine001,  ) => {inserted_id = 2581}
05:35:38 gine001 Gilad Nevo1 INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , amom001, 1, 0, 2020-01-22, 6.30, 8, 0, , gine001,  ) => {inserted_id = 2582}
05:35:38 gine001 Gilad Nevo1 INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , amom001, 1, 0, 2020-01-23, 6.30, 8, 0, , gine001,  ) => {inserted_id = 2583}
05:35:38 gine001 Gilad Nevo1 INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , amom001, 1, 0, 2020-01-24, 6.30, 8, 0, , gine001,  ) => {inserted_id = 2584}
05:35:38 gine001 Gilad Nevo1 INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , amom001, 1, 0, 2020-01-27, 6.30, 8, 0, , gine001,  ) => {inserted_id = 2585}
05:35:38 gine001 Gilad Nevo1 INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , amom001, 1, 0, 2020-01-28, 6.30, 8, 0, , gine001,  ) => {inserted_id = 2586}
05:35:38 gine001 Gilad Nevo1 INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , amom001, 1, 0, 2020-01-29, 6.30, 8, 0, , gine001,  ) => {inserted_id = 2587}
05:35:38 gine001 Gilad Nevo1 INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , amom001, 1, 0, 2020-01-30, 6.30, 8, 0, , gine001,  ) => {inserted_id = 2588}
05:35:38 gine001 Gilad Nevo1 INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , amom001, 1, 0, 2020-01-31, 6.30, 8, 0, , gine001,  ) => {inserted_id = 2589}
05:35:38 gine001 Gilad Nevo1 INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , amom001, 1, 0, 2020-02-03, 6.30, 8, 0, , gine001,  ) => {inserted_id = 2590}
05:35:38 gine001 Gilad Nevo1 INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , amom001, 1, 0, 2020-02-04, 6.30, 8, 0, , gine001,  ) => {inserted_id = 2591}
05:35:38 gine001 Gilad Nevo1 INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , amom001, 1, 0, 2020-02-05, 6.30, 8, 0, , gine001,  ) => {inserted_id = 2592}
05:35:38 gine001 Gilad Nevo1 INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , amom001, 1, 0, 2020-02-06, 6.30, 8, 0, , gine001,  ) => {inserted_id = 2593}
05:35:38 gine001 Gilad Nevo1 INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , amom001, 1, 0, 2020-02-07, 6.30, 8, 0, , gine001,  ) => {inserted_id = 2594}
05:35:38 gine001 Gilad Nevo1 INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , amom001, 1, 0, 2020-02-10, 6.30, 8, 0, , gine001,  ) => {inserted_id = 2595}
05:35:38 gine001 Gilad Nevo1 INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , amom001, 1, 0, 2020-02-11, 6.30, 8, 0, , gine001,  ) => {inserted_id = 2596}
05:35:38 gine001 Gilad Nevo1 INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , amom001, 1, 0, 2020-02-12, 6.30, 8, 0, , gine001,  ) => {inserted_id = 2597}
05:35:38 gine001 Gilad Nevo1 INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , amom001, 1, 0, 2020-02-13, 6.30, 8, 0, , gine001,  ) => {inserted_id = 2598}
05:35:38 gine001 Gilad Nevo1 INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , amom001, 1, 0, 2020-02-14, 6.30, 8, 0, , gine001,  ) => {inserted_id = 2599}
05:35:38 gine001 Gilad Nevo1 INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , amom001, 1, 0, 2020-02-17, 6.30, 8, 0, , gine001,  ) => {inserted_id = 2600}
05:35:38 gine001 Gilad Nevo1 INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , amom001, 1, 0, 2020-02-18, 6.30, 8, 0, , gine001,  ) => {inserted_id = 2601}
05:35:38 gine001 Gilad Nevo1 INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , amom001, 1, 0, 2020-02-19, 6.30, 8, 0, , gine001,  ) => {inserted_id = 2602}
